ID,w1group,w1schoolid,gender,w1_54a,w1_54b,w1_54d,w1_54e,w1_54f,w2_54a,w2_54b,w2_54d,w2_54e,w2_54f,w3_54a,w3_54b,w3_54d,w3_54e,w3_54f,w4_54a,w4_54b,w4_54d,w4_54e,w4_54f,w1_1,w2_1,w3_1,w4_1
347,1,14,female,4,2,1,2,1,3,2,1,4,1,3,2,1,1,2,4,1,1,1,1,2,3,4,5
348,0,2,female,4,1,1,2,3,NA,NA,NA,NA,NA,4,2,1,4,4,4,3,1,1,4,1,NA,3,3
349,0,8,female,4,1,1,2,1,4,1,1,2,1,4,1,1,1,1,4,1,1,1,1,1,1,2,3
350,0,23,female,4,3,4,4,4,3,3,1,1,1,4,2,1,1,1,4,1,1,1,1,2,3,4,4
351,0,2,male,4,2,1,2,1,4,2,1,1,1,3,3,2,3,2,3,1,2,2,2,2,3,8,8
352,1,18,female,4,1,1,1,1,3,2,2,1,1,4,1,2,1,1,4,1,1,1,1,2,3,4,5
353,0,8,female,4,1,1,2,1,4,2,1,1,4,4,1,1,1,1,4,3,2,1,4,1,1,2,3
354,0,2,male,3,4,4,4,4,3,2,3,2,3,4,3,3,3,3,3,3,4,2,4,2,1,2,3
355,0,17,male,3,2,3,4,3,4,4,3,4,4,3,3,3,3,4,4,4,4,4,4,2,3,4,5
356,1,19,female,4,2,1,1,1,4,2,1,1,3,4,2,1,3,4,3,3,1,1,2,1,2,3,4
357,0,22,female,3,3,4,4,3,4,4,3,3,3,4,2,1,3,4,3,3,3,3,2,1,1,7,8
358,1,3,male,3,2,2,2,4,4,4,4,4,4,4,1,3,3,3,4,4,4,4,4,1,2,3,4
359,0,24,male,4,1,1,1,2,4,1,2,2,1,4,1,1,1,1,4,1,2,1,1,1,2,4,3
360,1,9,female,3,2,1,2,1,3,2,2,2,1,4,4,1,4,4,4,4,4,4,4,1,1,2,3
361,0,22,female,3,3,2,3,3,3,4,1,4,4,3,2,1,3,3,3,2,2,2,2,1,1,2,3
362,1,14,female,3,2,2,2,2,4,1,1,1,1,4,2,1,1,1,NA,NA,NA,NA,NA,2,8,8,NA
363,0,17,female,3,2,2,2,2,3,1,2,2,2,3,3,1,3,1,3,2,2,1,2,1,2,3,4
364,0,7,male,4,2,1,1,1,3,2,1,2,3,3,2,2,2,3,4,3,3,2,2,2,3,4,4
365,0,17,female,4,2,2,2,1,4,2,1,1,1,4,1,1,1,1,4,2,2,1,1,2,3,4,5
366,0,22,male,3,3,3,4,4,4,2,2,2,2,4,1,1,1,1,4,2,1,2,1,2,NA,3,5
367,1,13,male,4,3,2,2,1,4,1,2,2,3,4,1,1,1,1,3,1,1,2,1,1,2,8,3
368,1,10,male,3,3,1,3,1,3,2,2,1,4,4,1,1,1,1,3,2,4,3,3,1,1,3,3
369,0,15,female,3,4,4,4,3,4,1,1,1,1,4,2,1,3,4,NA,NA,NA,NA,NA,2,3,7,NA
370,1,5,male,4,2,2,4,4,3,3,2,2,2,3,3,3,2,2,3,3,2,2,2,1,2,3,4
371,0,24,male,3,2,3,3,2,3,3,3,2,2,3,2,3,3,2,3,1,1,1,1,1,1,2,3
372,0,22,female,3,1,1,1,2,3,2,2,2,2,3,3,2,2,2,3,2,3,3,3,1,2,3,8
373,1,10,male,3,3,2,2,3,3,4,4,4,4,3,2,2,3,3,3,2,1,2,3,1,1,2,3
374,0,25,female,4,4,1,4,4,3,1,1,1,2,4,1,2,1,1,NA,NA,NA,NA,NA,2,8,3,NA
375,0,6,female,4,1,1,1,1,4,1,1,1,1,3,2,2,2,4,3,2,2,3,2,1,2,3,4
376,1,16,male,3,2,1,1,1,3,1,1,2,2,4,1,1,1,1,3,1,1,2,2,2,2,8,8
377,0,21,male,3,3,3,3,4,3,3,2,3,2,3,3,3,3,3,4,2,1,2,1,1,2,3,8
378,1,9,male,4,1,2,2,1,4,4,1,4,1,4,1,1,1,1,4,1,1,1,1,1,1,2,3
379,0,22,male,3,1,1,1,1,3,1,1,2,1,3,2,2,3,2,3,1,1,3,2,1,2,4,4
380,0,8,female,3,1,1,2,2,4,2,1,1,2,4,3,3,3,4,3,2,2,2,2,1,2,3,2
381,1,13,male,4,1,1,1,2,4,1,1,1,2,3,2,1,1,1,3,2,2,2,2,2,3,4,5
382,1,3,male,3,2,2,2,3,4,2,3,3,3,4,2,2,2,2,4,2,1,2,2,2,8,3,4
383,0,24,male,4,1,2,2,2,4,1,1,1,1,3,2,1,1,1,3,4,3,2,4,1,2,3,4
384,1,9,female,4,2,1,1,1,3,1,2,1,1,3,2,2,1,2,3,2,1,1,1,1,1,2,3
385,0,24,male,3,2,3,4,3,3,2,2,4,2,4,1,2,1,2,3,4,3,3,3,2,1,7,3
386,0,7,male,3,2,2,2,4,4,1,1,1,2,3,2,3,2,3,3,3,1,3,3,2,3,4,5
387,0,2,male,3,2,2,3,3,3,2,1,1,1,3,2,1,2,2,3,3,1,1,2,1,1,2,3
388,1,9,male,4,3,1,3,1,3,2,1,2,1,4,2,2,2,2,4,2,1,2,2,2,3,4,5
389,0,8,male,4,1,1,1,3,3,4,4,4,4,3,4,4,3,4,3,3,3,4,4,1,2,4,4
390,1,18,male,4,2,1,3,2,3,3,1,2,1,3,1,2,1,2,3,4,4,4,4,2,3,5,5
391,1,26,female,3,2,1,4,1,3,4,4,4,4,3,4,1,2,4,4,2,NA,2,1,1,2,3,4
392,0,11,male,4,1,1,2,3,4,1,1,2,3,3,2,1,3,2,3,1,1,4,2,1,1,2,3
393,0,23,male,3,3,1,1,1,3,3,1,1,1,3,3,4,3,3,4,2,2,1,2,1,2,7,7
394,0,22,female,3,4,2,4,1,4,4,3,4,4,3,4,2,3,4,4,4,4,4,4,1,1,8,8
395,0,11,male,4,1,1,1,1,4,1,1,1,1,3,2,1,2,2,3,2,1,2,1,1,2,1,2
396,1,13,male,3,1,2,2,2,3,2,2,2,1,3,3,3,1,1,3,1,3,1,1,1,8,3,4
397,0,11,male,4,1,1,1,1,3,2,1,1,1,3,2,1,2,1,3,3,1,3,1,1,2,3,4
398,1,5,male,3,2,1,2,2,3,3,2,3,4,4,1,1,1,1,NA,NA,NA,NA,NA,2,8,3,NA
399,1,18,male,3,1,1,2,1,NA,NA,NA,NA,NA,3,4,4,3,4,NA,NA,NA,NA,NA,2,NA,4,NA
400,1,26,male,3,3,2,2,2,3,2,3,3,3,3,3,3,4,4,3,3,3,3,4,1,2,3,4
401,0,11,female,4,2,3,4,3,3,4,4,4,4,4,3,3,3,4,NA,NA,NA,NA,NA,1,2,3,NA
402,1,5,female,3,2,2,2,3,4,4,4,4,4,3,2,2,2,2,3,3,2,2,2,2,3,4,5
403,1,18,female,4,3,1,2,2,3,4,2,4,3,4,2,1,2,2,3,2,2,2,2,2,2,7,4
404,0,17,female,3,NA,1,1,1,4,2,1,2,1,3,2,1,2,2,3,3,1,2,1,2,2,3,4
405,0,25,male,3,1,1,1,2,3,2,1,2,2,4,1,1,1,2,3,3,3,3,3,2,2,8,4
406,1,3,male,4,2,3,1,2,3,2,3,3,2,3,4,2,1,2,3,3,3,4,2,1,2,8,7
407,1,10,male,3,2,3,2,2,3,2,1,2,1,4,1,1,1,1,3,1,1,1,1,1,2,3,4
408,1,12,male,4,1,1,1,1,3,3,3,3,3,4,4,1,1,1,3,1,1,1,1,2,3,8,7
409,0,8,male,4,1,1,4,2,3,2,1,2,2,3,1,2,2,2,3,2,1,2,1,2,3,4,5
410,0,20,male,4,1,1,1,1,4,1,1,1,1,4,2,2,1,1,3,1,1,1,1,1,2,3,4
411,0,17,female,3,2,1,2,2,3,2,1,2,1,4,2,1,1,1,3,2,2,3,1,1,2,4,3
412,0,11,female,3,2,3,1,2,3,2,2,3,4,4,1,1,1,1,3,2,3,2,2,2,8,8,8
413,0,15,female,3,2,1,1,2,4,1,1,3,1,3,2,2,2,2,3,2,2,3,3,2,2,3,4
414,1,16,female,3,3,1,2,4,3,3,2,3,2,4,1,1,1,1,3,2,1,3,1,1,1,8,2
415,1,3,female,3,2,1,3,2,3,1,1,1,2,3,2,2,1,2,3,3,3,3,3,2,7,7,7
416,1,4,female,3,2,1,1,1,3,2,2,2,2,3,2,2,2,2,3,1,2,1,1,1,1,1,2
417,1,10,male,4,2,2,3,1,4,2,1,4,4,4,4,1,2,3,4,4,3,2,4,1,1,2,3
